2020-10-10 15:22:20.085 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration'
2020-10-10 15:22:20.086 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.task.TaskExecutionAutoConfiguration'
2020-10-10 15:22:20.086 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'taskExecutorBuilder'
2020-10-10 15:22:20.087 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2020-10-10 15:22:20.089 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'taskExecutorBuilder' via factory method to bean named 'spring.task.execution-org.springframework.boot.autoconfigure.task.TaskExecutionProperties'
2020-10-10 15:22:20.090 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration'
2020-10-10 15:22:20.091 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'error'
2020-10-10 15:22:20.092 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'beanNameViewResolver'
2020-10-10 15:22:20.093 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration'
2020-10-10 15:22:20.093 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2020-10-10 15:22:20.096 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@58bf8650'
2020-10-10 15:22:20.096 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$DefaultErrorViewResolverConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2020-10-10 15:22:20.097 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conventionErrorViewResolver'
2020-10-10 15:22:20.098 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorAttributes'
2020-10-10 15:22:20.099 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'basicErrorController'
2020-10-10 15:22:20.099 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'basicErrorController' via factory method to bean named 'errorAttributes'
2020-10-10 15:22:20.101 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration'
2020-10-10 15:22:20.103 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2020-10-10 15:22:20.103 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@1af7f54a'
2020-10-10 15:22:20.111 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
2020-10-10 15:22:20.112 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2020-10-10 15:22:20.112 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2020-10-10 15:22:20.112 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@1af7f54a'
2020-10-10 15:22:20.114 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'requestMappingHandlerAdapter'
2020-10-10 15:22:20.116 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mvcContentNegotiationManager'
2020-10-10 15:22:20.120 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mvcConversionService'
2020-10-10 15:22:20.124 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mvcValidator'
2020-10-10 15:22:20.125 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
2020-10-10 15:22:20.125 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
2020-10-10 15:22:20.125 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
2020-10-10 15:22:20.129 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcContentNegotiationManager'
2020-10-10 15:22:20.129 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcConversionService'
2020-10-10 15:22:20.129 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'requestMappingHandlerAdapter' via factory method to bean named 'mvcValidator'
2020-10-10 15:22:20.139 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'messageConverters'
2020-10-10 15:22:20.139 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration'
2020-10-10 15:22:20.142 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'stringHttpMessageConverter'
2020-10-10 15:22:20.142 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration$StringHttpMessageConverterConfiguration'
2020-10-10 15:22:20.143 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Autowiring by type from bean name 'stringHttpMessageConverter' via factory method to bean named 'environment'
2020-10-10 15:22:20.148 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mappingJackson2HttpMessageConverter'
2020-10-10 15:22:20.148 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration$MappingJackson2HttpMessageConverterConfiguration'
2020-10-10 15:22:20.148 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jacksonObjectMapper'
2020-10-10 15:22:20.148 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration'
2020-10-10 15:22:20.149 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration'
2020-10-10 15:22:20.149 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'standardJacksonObjectMapperBuilderCustomizer'
2020-10-10 15:22:20.149 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration'
2020-10-10 15:22:20.150 DEBUG -- [           main] o.c.c.c.c.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
